entity_id,friendly_name,domain,platform,device_name,manufacturer,model,area,disabled,hidden
device_tracker.amazon_67373c19c,amazon-67373c19c,device_tracker,unifi,,,,,integration,
device_tracker.amazon_7a1d71ea0,amazon-7a1d71ea0,device_tracker,unifi,,,,,integration,
device_tracker.amazon_83518ff30,amazon-83518ff30,device_tracker,unifi,,,,,integration,
device_tracker.amazon_ae6c5cebb,amazon-ae6c5cebb,device_tracker,unifi,,,,,integration,
device_tracker.aqara_hub_m3_926b,Aqara-Hub-M3-926B,device_tracker,unifi,Aqara-Hub-M3-926B,Lumi United Technology Co.; Ltd,,,,
device_tracker.back_door_lock,Back Door Lock,device_tracker,unifi,,,,Entry Room,,
device_tracker.back_yard,back-yard,device_tracker,unifi,Back Yard,Ubiquiti,G4 Bullet,Back Yard Tower,,
device_tracker.basement_nest_thermostat,Basement Nest Thermostat,device_tracker,unifi,,,,,integration,
device_tracker.bedroom,Bedroom,device_tracker,unifi,Bedroom,Roku; Inc.,,,,
device_tracker.blink_dhcp,Blink DHCP,device_tracker,unifi,,,,,integration,
device_tracker.blink_dhcp_2,Blink DHCP,device_tracker,unifi,,,,,integration,
device_tracker.blink_dhcp_5,Blink DHCP,device_tracker,unifi,,,,,integration,
device_tracker.blink_dhcp_6,Blink DHCP,device_tracker,unifi,,,,,integration,
device_tracker.blink_dhcp_7,Blink DHCP,device_tracker,unifi,,,,,integration,
device_tracker.blink_mini,Blink-Mini,device_tracker,unifi,,,,,integration,
device_tracker.blink_mini_2,Blink-Mini,device_tracker,unifi,,,,,integration,
device_tracker.blink_mini_3,Blink-Mini,device_tracker,unifi,,,,,integration,
device_tracker.blink_mini_4,Blink-Mini,device_tracker,unifi,,,,,integration,
device_tracker.blink_mini_5,Blink-Mini,device_tracker,unifi,,,,,integration,
device_tracker.blink_mini_6,Blink-Mini,device_tracker,unifi,,,,,integration,
device_tracker.blink_sync_module,Blink Sync Module,device_tracker,unifi,,,,,integration,
device_tracker.book_3fhmrlf3dv,John's Samsung Laptop,device_tracker,unifi,,,,,integration,
device_tracker.boys_fire_tablet,Boys' Fire Tablet?,device_tracker,unifi,,,,,integration,
device_tracker.boys_nintendo_switch,Boys' Nintendo Switch,device_tracker,unifi,,,,,integration,
device_tracker.c42996fffeca54e5,C42996CA54E5,device_tracker,unifi,C42996CA54E5,Signify B.V.,,,,
device_tracker.chamberlain_myq_garage_door_opener,Chamberlain MyQ Garage Door Opener,device_tracker,unifi,,,,,integration,
device_tracker.chamberlain_myq_garage_door_opener_2,Chamberlain MyQ Garage Door Opener 2,device_tracker,unifi,,,,,integration,
device_tracker.cl_8a428,Basement Yamaha AV Receiver,device_tracker,unifi,RX-V671,YAMAHA CORPORATION,RX-V671,,,
device_tracker.corinna_s_s22,Corinna-s-S22,device_tracker,unifi,,,,,integration,
device_tracker.diane_s_s25,Diane-s-S25,device_tracker,unifi,,,,,integration,
device_tracker.ella_s_fire_tv_stick,Ella's Fire TV Stick,device_tracker,unifi,,,,,,
device_tracker.ella_s_google_nest_hub_bf_cc,Ella's Google Nest Hub bf:cc,device_tracker,unifi,,,,,integration,
device_tracker.ella_s_iphone,Ella's iPhone,device_tracker,unifi,,,,,integration,
device_tracker.ellas_iphone,Ella’s iPhone,device_tracker,mobile_app,Ella’s iPhone,Apple,iPhone18;1,,,
device_tracker.espressif,espressif,device_tracker,unifi,,,,,integration,
device_tracker.espressif_2,espressif,device_tracker,unifi,,,,,integration,
device_tracker.front_driveway_door,front-driveway-door,device_tracker,unifi,Front Driveway Door,Ubiquiti,G4 Doorbell Pro,Front door,,
device_tracker.g4_bullet,g4-bullet,device_tracker,unifi,G4 Bullet,Ubiquiti,G4 Bullet,Pigeon Falls Properties,,
device_tracker.garage_ap,Garage AP,device_tracker,unifi,Garage AP,Ubiquiti Networks,U7PG2,Garage,,
device_tracker.garage_nest_thermostat,Garage Nest Thermostat,device_tracker,unifi,,,,,integration,
device_tracker.garage_south_garage_door_ratgdo32disco_ratgdo32disco_5735e8,ratgdo32disco-5735e8,device_tracker,unifi,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
device_tracker.goetting_wifi,Goetting WiFi,device_tracker,unifi,Goetting WiFi,Ubiquiti Networks,UAL6,,,
device_tracker.ha_dashboard_tablet_samsung,HA Dashboard Tablet (Samsung),device_tracker,mobile_app,HA Dashboard Tablet (Samsung),samsung,SM-X210,,,
device_tracker.halo_gaux_b9,HALO-GAUX-B9,device_tracker,unifi,,,,,integration,
device_tracker.hd_home_run,HD Home Run,device_tracker,unifi,HD Home Run,Silicondust Engineering Ltd,,,,
device_tracker.homeassistant,Home Assistant Green,device_tracker,unifi,Home Assistant Green,Nabu Casa; Inc.,,,,
device_tracker.hs100,HS100,device_tracker,unifi,PFP - Receiver,TP-Link,HS100,Pigeon Falls Properties,,
device_tracker.hs103_7,HS103,device_tracker,unifi,,,,,integration,
device_tracker.hs200_2,HS200,device_tracker,unifi,Basement_Hallway_Smart_Switch,TP-Link,HS200,Basement Hallway,,
device_tracker.hs210,HS210,device_tracker,unifi,Front_Driveway_Lights,TP-Link,HS210,Front Driveway,,
device_tracker.ipad,Ella's School iPad,device_tracker,unifi,,,,,,
device_tracker.ipad_2,Alaina's School iPad,device_tracker,unifi,,,,,,
device_tracker.iphone,? who's iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_10,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_11,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_2,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_3,iPhone.localdomain,device_tracker,unifi,,,,,integration,
device_tracker.iphone_4,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_40,iPhone-40,device_tracker,unifi,,,,,integration,
device_tracker.iphone_5,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_6,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_7,Alaina's iPhone17,device_tracker,unifi,,,,,integration,
device_tracker.iphone_8,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.iphone_9,? who what,device_tracker,unifi,,,,,integration,
device_tracker.irobot_a4f0cd35faf34d85b953121c69277181,iRobot-A4F0CD35FAF34D85B953121C,device_tracker,unifi,,,,,integration,
device_tracker.irobot_da24504ab9c144a19f70c01e1d53bdcd,iRobot-DA24504AB9C144A19F70C01E1D53BDCD,device_tracker,unifi,,,,,integration,
device_tracker.jarrett_s_echo_show,Jarrett's Echo Show,device_tracker,unifi,,,,,integration,
device_tracker.jarrett_s_tv,Jarrett's TV,device_tracker,unifi,,,,,integration,
device_tracker.john_s_phone,John's Phone,device_tracker,mobile_app,John's S24 Ultra Phone,samsung,SM-S928U,,,
device_tracker.john_s_s24_ultra,John-s-S24-Ultra,device_tracker,unifi,,,,,integration,
device_tracker.john_s_s24_ultra_3,John-s-S24-Ultra,device_tracker,unifi,,,,,integration,
device_tracker.john_s_s24_ultra_4,John's S24 Ultra Phone,device_tracker,unifi,,,,,,
device_tracker.john_s_s24_ultra_5,John-s-S24-Ultra,device_tracker,unifi,,,,,integration,
device_tracker.john_s_tab_a9,Kitchen Wall Samsung A9 tablet,device_tracker,unifi,John-s-Tab-A9,,,,,
device_tracker.kitchen_samsung_ha_dashboardtablet,Kitchen Samsung HA DashboardTablet,device_tracker,unifi,,,,,integration,
device_tracker.kitchenloungetv,KitchenLoungeTV,device_tracker,unifi,Kitchen Lounge TV,Roku,Streaming Stick 4K,Kitchen Lounge,,
device_tracker.kl400,KL400,device_tracker,unifi,Ella's LED lights,TP-Link,KL400L10,Ella's Bedroom,,
device_tracker.kl400_2,KL400,device_tracker,unifi,,,,,,
device_tracker.kl400_3,KL400,device_tracker,unifi,Alaina's LED Light Strip 1,TP-Link,KL400L5,Alaina's Bedroom,,
device_tracker.kl400_5,KL400,device_tracker,unifi,Master Bedroom LED Light Strip,TP-Link,KL400L5,,,
device_tracker.living_room_fire_tv_4k,Living Room Fire TV 4K,device_tracker,unifi,Living Room Fire TV 192.168.1.17,Amazon,AFTTIFF43 (Fire TV),Living Room,,
device_tracker.living_room_tv_smart_ligjt_strip_kl400,KL400,device_tracker,unifi,Living_Room_Behind_TV_TP_Link_Smart_Light_Strip,TP-Link,KL400L5,Living Room,,
device_tracker.master_bedroom_fire_tv_4k,Master Bedroom Fire TV 4K,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_basement_tv,Michelle's Basement TV,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_iphone_14_pro,Michelle's iPhone,device_tracker,unifi,,,,,,
device_tracker.michelle_s_kitchen_google_nest,Michelle's Kitchen Google Nest,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_laptop,Michelle's Laptop,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_living_room_tv,Michelle's Bedroom TV,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_nest_thermostat,Michelle's Nest Thermostat,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_smart_plug,Michelle's Smart Plug,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_smart_plug_1,Michelle's Smart Plug 1,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_smart_plug_2,Michelle's Smart Plug 2,device_tracker,unifi,,,,,integration,
device_tracker.michelle_s_work_laptop,Michelle's Work Laptop,device_tracker,unifi,,,,,integration,
device_tracker.mitsubishi_mini_split,Mitsubishi Mini Split.240,device_tracker,unifi,,,,,integration,
device_tracker.navi_link_light_wifi_module,Navi Link Light WiFi Module,device_tracker,unifi,,,,,integration,
device_tracker.nest_thermostat_f05e,Nest-Thermostat-F05E,device_tracker,unifi,,,,,integration,
device_tracker.north_home_garage_door_ratgdo32disco_ratgdo32disco_fd8d8c,ratgdo32disco-fd8d8c,device_tracker,unifi,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,
device_tracker.owen_s_nanit_cam,Owen's Nanit Cam,device_tracker,unifi,,,,,integration,
device_tracker.owen_s_tv,Owen's TV,device_tracker,unifi,,,,,integration,
device_tracker.p_f_p_ap_ac_pro,P.F.P - AP- AC Pro,device_tracker,unifi,P.F.P - AP- AC Pro,Ubiquiti Networks,U7PG2,,,
device_tracker.p_f_p_ubb,P.F.P. - UBB,device_tracker,unifi,P.F.P. - UBB,Ubiquiti Networks,UBB,Back Yard Tower,,
device_tracker.p_f_p_usw_lite_8_poe,P.F.P. - USW-Lite-8-PoE,device_tracker,unifi,P.F.P. - USW-Lite-8-PoE,Ubiquiti Networks,USL8LPB,Pigeon Falls Properties,,
device_tracker.phillips_hue_bridge,Phillips Hue Bridge,device_tracker,unifi,,,,,integration,
device_tracker.shellyplus1_8813bf9fbf5c,2nd Floor Bahroom Fan Shellyplus1,device_tracker,unifi,Upstairs Bathroom Fan,Shelly,Shelly Plus 1 UL,2nd Floor Bathroom,,
device_tracker.sonoszp,SonosZP,device_tracker,unifi,Kitchen Sonos Beam,Sonos,Beam,Kitchen Lounge,,
device_tracker.synologynas,DS224plus,device_tracker,unifi,,,,,device,
device_tracker.tower_flex,Tower - Flex,device_tracker,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,,
device_tracker.udm_pro,UDM PRO,device_tracker,unifi,UDM PRO,Ubiquiti Networks,UDMPROSE,,,
device_tracker.unifi_default_00_0a_54_43_43_5f,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_00_b8_37,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_0a_28_0b,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_0b_6d_44,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_13_b7_f5,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_1a_a7_9d,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_1f_ca_4e,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_27_9e_8f,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_40_96_d2,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_49_d4_92,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_4b_8a_42,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_65_93_7e,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_65_d5_a8,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_6e_4d_c1,,device_tracker,unifi,,,,,,
device_tracker.unifi_default_00_e0_4c_7d_2c_0b,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_8b_05_d5,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_90_8a_74,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_9b_24_b8,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_a2_16_80,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_a8_80_6d,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_b0_34_86,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_b2_17_3d,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_b7_c5_aa,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_cd_07_5a,JarrettsRokuTV,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_ce_21_b4,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_cf_3a_f7,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_d4_c2_bf,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_d6_6d_a6,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_e9_5b_4f,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_ee_e3_55,,device_tracker,unifi,,Realtek Semiconductor Corp.,,,,
device_tracker.unifi_default_00_e0_4c_f7_0d_9e,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_00_e0_4c_fc_ec_48,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_04_56_e5_48_f0_08,,device_tracker,unifi,,Intel Corporate,,,,
device_tracker.unifi_default_06_89_9f_ea_5d_09,Traci et al.'s extra iPhone,device_tracker,unifi,,,,,,
device_tracker.unifi_default_14_c6_7d_c9_8c_cc,Michelle's Living Room TV,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_18_74_2e_aa_ef_a8,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_1e_05_34_95_ce_35,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_1e_6e_2e_db_5f_41,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_34_af_b3_75_e4_9b,Living Room Echo Show ,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_34_af_b3_d3_3e_b0,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_36_17_9e_2e_96_47,SM-R960,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_40_b4_cd_a1_a0_35,BOOK-3FHMRLF3DV,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_44_d5_cc_a1_42_d9,LivingRoomRoku.localdomain,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_4a_51_44_9f_3d_1d,Watch,device_tracker,unifi,,,,,,
device_tracker.unifi_default_4a_7c_ea_7a_12_e0,Ella's iPhone17,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_56_3f_d3_43_ef_3f,SM-R960,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_5e_a2_13_eb_b4_a5,Watch,device_tracker,unifi,,,,,,
device_tracker.unifi_default_74_c2_46_a3_7d_7f,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_74_ec_b2_8c_0c_41,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_7a_58_45_5d_e3_eb,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_86_75_60_04_8c_c5,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_ae_68_60_df_51_cf,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_b6_c1_91_40_5c_ea,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_c2_04_98_79_7a_d5,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_e2_1a_4d_f1_d8_68,Watch,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_e2_47_08_ee_50_96,iPhone,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_e8_4c_4a_7e_24_f9,,device_tracker,unifi,,,,,integration,
device_tracker.unifi_default_f2_b2_4a_c5_54_e1,Watch,device_tracker,unifi,,,,,,
device_tracker.unifi_default_f8_fc_e1_d2_94_e3,Blink DHCP,device_tracker,unifi,,Amazon Technologies Inc.,,,,
device_tracker.upstairs_nest_thermostat,Upstairs Nest Thermostat,device_tracker,unifi,,,,,integration,
device_tracker.usw_lite_8_poe,USW Lite 8 PoE,device_tracker,unifi,USW Lite 8 PoE,Ubiquiti Networks,USL8LP,,,
device_tracker.usw_pro_max_16_poe,USW Pro Max 16 PoE,device_tracker,unifi,USW Pro Max 16 PoE,Ubiquiti Networks,USPM16P,,,
device_tracker.very_front_door,very-front-door,device_tracker,unifi,Very Front Door,Ubiquiti,G4 Doorbell Pro,Very Front Door,,
device_tracker.watch,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_10,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_11,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_12,Watch,device_tracker,unifi,,,,,,
device_tracker.watch_13,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_14,Watch,device_tracker,unifi,Watch,,,,,
device_tracker.watch_2,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_3,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_4,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_5,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_6,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_7,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_8,Watch,device_tracker,unifi,,,,,integration,
device_tracker.watch_9,Watch,device_tracker,unifi,,,,,integration,
device_tracker.wiced_ip,Mitsubishi Mini Split.241,device_tracker,unifi,,,,,integration,
device_tracker.wiced_ip_2,Mitsubishi Mini Split.243,device_tracker,unifi,,,,,integration,
device_tracker.wiced_ip_3,Mitsubishi Mini Split.242,device_tracker,unifi,,,,,integration,
device_tracker.wlan0,wlan0,device_tracker,unifi,,,,,integration,
device_tracker.wlan0_2,wlan0,device_tracker,unifi,,,,,integration,
device_tracker.wlan0_3,wlan0,device_tracker,unifi,,,,,integration,
event.ai_theta_vehicle,Vehicle,event,unifiprotect,AI Theta,Ubiquiti,AI Theta,,,
event.back_yard_vehicle,Vehicle,event,unifiprotect,Back Yard,Ubiquiti,G4 Bullet,Back Yard Tower,,
event.backup_automatic_backup,Automatic backup,event,backup,Backup,Home Assistant,Home Assistant Backup,,,
event.front_driveway_door_doorbell,Doorbell,event,unifiprotect,Front Driveway Door,Ubiquiti,G4 Doorbell Pro,Front door,,
event.front_driveway_door_fingerprint,Fingerprint,event,unifiprotect,Front Driveway Door,Ubiquiti,G4 Doorbell Pro,Front door,,
event.front_driveway_door_nfc,NFC,event,unifiprotect,Front Driveway Door,Ubiquiti,G4 Doorbell Pro,Front door,,
event.front_driveway_door_vehicle,Vehicle,event,unifiprotect,Front Driveway Door,Ubiquiti,G4 Doorbell Pro,Front door,,
event.g4_bullet_vehicle,Vehicle,event,unifiprotect,G4 Bullet,Ubiquiti,G4 Bullet,Pigeon Falls Properties,,
event.g6_bullet_vehicle,Vehicle,event,unifiprotect,G6 Bullet,Ubiquiti,G6 Bullet,,,
event.hue_dimmer_switch_1_button_1,Button 1,event,hue,Living Room Lounge Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_1_button_2,Button 2,event,hue,Living Room Lounge Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_1_button_3,Button 3,event,hue,Living Room Lounge Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_1_button_4,Button 4,event,hue,Living Room Lounge Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_2_button_1,Button 1,event,hue,Ella's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_2_button_2,Button 2,event,hue,Ella's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_2_button_3,Button 3,event,hue,Ella's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_2_button_4,Button 4,event,hue,Ella's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_3_button_1,Button 1,event,hue,Alaina's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_3_button_2,Button 2,event,hue,Alaina's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_3_button_3,Button 3,event,hue,Alaina's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_3_button_4,Button 4,event,hue,Alaina's Bedroom Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_4_button_1,Button 1,event,hue,Garage Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_4_button_2,Button 2,event,hue,Garage Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_4_button_3,Button 3,event,hue,Garage Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_dimmer_switch_4_button_4,Button 4,event,hue,Garage Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,,,
event.hue_tap_dial_switch_1_button_1,Button 1,event,hue,Entry Room Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_1_button_2,Button 2,event,hue,Entry Room Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_1_button_3,Button 3,event,hue,Entry Room Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_1_button_4,Button 4,event,hue,Entry Room Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_1_rotary,Rotary,event,hue,Entry Room Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_3_button_1,Button 1,event,hue,Master Bedroom Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_3_button_2,Button 2,event,hue,Master Bedroom Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_3_button_3,Button 3,event,hue,Master Bedroom Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_3_button_4,Button 4,event,hue,Master Bedroom Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.hue_tap_dial_switch_3_rotary,Rotary,event,hue,Master Bedroom Tap Dial Switch,Signify Netherlands B.V.,Hue tap dial switch,,,
event.kitchen_ai_theta_vehicle,Vehicle,event,unifiprotect,Kitchen AI Theta,Ubiquiti,AI Theta,Kitchen,,
event.very_front_door_doorbell,Doorbell,event,unifiprotect,Very Front Door,Ubiquiti,G4 Doorbell Pro,Very Front Door,,
event.very_front_door_fingerprint,Fingerprint,event,unifiprotect,Very Front Door,Ubiquiti,G4 Doorbell Pro,Very Front Door,,
event.very_front_door_nfc,NFC,event,unifiprotect,Very Front Door,Ubiquiti,G4 Doorbell Pro,Very Front Door,,
event.very_front_door_vehicle,Vehicle,event,unifiprotect,Very Front Door,Ubiquiti,G4 Doorbell Pro,Very Front Door,,
event.works_with_hue_switch_1_button_1,Button 1,event,hue,Living Room Lounge Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_1_button_1_2,Button 1,event,hue,Living Room Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_1_button_2,Button 2,event,hue,Living Room Lounge Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_1_button_2_2,Button 2,event,hue,Living Room Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_1_button_3,Button 3,event,hue,Living Room Lounge Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_1_button_3_2,Button 3,event,hue,Living Room Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_1_button_4,Button 4,event,hue,Living Room Lounge Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_1_button_4_2,Button 4,event,hue,Living Room Hue Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_2_button_1,Button 1,event,hue,Ella's Bedroom Hue Light Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_2_button_2,Button 2,event,hue,Ella's Bedroom Hue Light Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_2_button_3,Button 3,event,hue,Ella's Bedroom Hue Light Switch,PhilipsFoH,Works with Hue Switch,,,
event.works_with_hue_switch_2_button_4,Button 4,event,hue,Ella's Bedroom Hue Light Switch,PhilipsFoH,Works with Hue Switch,,,
fan.inovelli_vzm36_fan_2,Fan,fan,zha,Living Room Light and Fan Inovelli Module,Inovelli,VZM36,Living Room,,
fan.kitchen_lounge_light_fan_inovelli_vzm36_fan,Fan,fan,zha,Kitchen_Lounge_Light/Fan_Inovelli VZM36,Inovelli,VZM36,Kitchen Lounge,,
image.goetting_qr_code,QR Code,image,unifi,Goetting ,Ubiquiti Networks,UniFi WLAN,,integration,
image.kitchen_wall_a9_tablet_screenshot,Screenshot,image,fully_kiosk,Kitchen Wall A9+ Tablet,samsung,SM-X210,Kitchen,,
image.pigeon_falls_properties_iot_qr_code,QR Code,image,unifi,Pigeon Falls Properties - IoT,Ubiquiti Networks,UniFi WLAN,,integration,
image.pigeon_falls_properties_qr_code,QR Code,image,unifi,Pigeon Falls Properties,Ubiquiti Networks,UniFi WLAN,,integration,
image.spencer_guest_qr_code,QR Code,image,unifi,Spencer - guest,Ubiquiti Networks,UniFi WLAN,,integration,
image.spencer_iot_qr_code,QR Code,image,unifi,Spencer IoT,Ubiquiti Networks,UniFi WLAN,,integration,
image.spencer_qr_code,QR Code,image,unifi,Spencer,Ubiquiti Networks,UniFi WLAN,,integration,
input_boolean.ai_context_pending,AI Context Update Pending,input_boolean,input_boolean,,,,,,
input_boolean.alaina_bedroom_override,Alaina Bedroom Override,input_boolean,input_boolean,,,,,,
input_boolean.alaina_had_activity_today,Alaina - Had Activity Today,input_boolean,input_boolean,,,,,,
input_boolean.alaina_home,Alaina Home,input_boolean,input_boolean,,,,,,
input_boolean.alaina_led_strips,Alaina LED Strips,input_boolean,input_boolean,,,,,,
