sheet,priority,category,entity_id,friendly_name,type,platform,manufacturer,area,status,action_needed,notes
Sensors,HIGH,temperature,sensor.lumi_lumi_sensor_wleak_aq1_device_temperature,Device temperature,temperature,zha,LUMI,,Needs Area,Assign Area,CRITICAL: NEEDS AREA
Sensors,INFO,humidity,sensor.master_nest_thermostat_humidity,Humidity,humidity,nest,Google Nest,Master Bedroom,OK,None,
Sensors,INFO,temperature,sensor.master_nest_thermostat_temperature,Temperature,temperature,nest,Google Nest,Master Bedroom,OK,None,
Sensors,INFO,water,sensor.navien_hot_water_temp,Navien Hot Water Temp,water,navien_water_heater,Navien,Boiler Room,OK,None,
Sensors,INFO,water,sensor.navien_water_flow,Navien Water Flow,water,navien_water_heater,Navien,Boiler Room,OK,None,
Sensors,INFO,humidity,sensor.outside_humidity,Outside Humidity,humidity,template,,,Needs Area,Assign Area,
Sensors,HIGH,temperature,sensor.outside_temperature,Outside Temperature,temperature,template,,,Needs Area,Assign Area,CRITICAL: NEEDS AREA
Sensors,INFO,temperature,sensor.p_f_p_ubb_temperature,Temperature,temperature,unifi,Ubiquiti Networks,Back Yard Tower,OK,None,
Sensors,INFO,humidity,sensor.pfp_east_nest_thermostat_sensor_humidity,PFP East Nest Thermostat Humidity Sensor,humidity,nest,Google Nest,Pigeon Falls Properties,OK,None,
Sensors,INFO,temperature,sensor.pfp_east_nest_thermostat_sensor_temperature,PFP East Nest Thermostat Temperature Sensor,temperature,nest,Google Nest,Pigeon Falls Properties,OK,None,
Sensors,INFO,temperature,sensor.pfp_west_nest_sensor_temperature,PFP West Nest Thermostat Temperature Sensor,temperature,nest,Google Nest,Pigeon Falls Properties,OK,None,
Sensors,INFO,humidity,sensor.pfp_west_nest_thermostat_sensor_humidity,PFP West Nest Thermostat Humidity Sensor,humidity,nest,Google Nest,Pigeon Falls Properties,OK,None,
Sensors,HIGH,temperature,sensor.udm_pro_cpu_temperature,CPU temperature,temperature,unifiprotect,Ubiquiti Networks,,Needs Area,Assign Area,CRITICAL: NEEDS AREA
Sensors,HIGH,temperature,sensor.udm_pro_udm_pro_cpu_temperature,UDM PRO CPU Temperature,temperature,unifi,Ubiquiti Networks,,Disabled,Assign Area,CRITICAL: NEEDS AREA
Sensors,HIGH,temperature,sensor.udm_pro_udm_pro_local_temperature,UDM PRO Local Temperature,temperature,unifi,Ubiquiti Networks,,Disabled,Assign Area,CRITICAL: NEEDS AREA
Sensors,HIGH,temperature,sensor.udm_pro_udm_pro_phy_temperature,UDM PRO PHY Temperature,temperature,unifi,Ubiquiti Networks,,Disabled,Assign Area,CRITICAL: NEEDS AREA
Sensors,INFO,humidity,sensor.upstairs_average_humidity,Upstairs Average Humidity,humidity,template,,,Needs Area,Assign Area,
Sensors,HIGH,temperature,sensor.upstairs_bathroom_echo_plus_temperature_2,Upstairs Bathroom Echo Plus Temperature,temperature,alexa_media,Amazon,,Needs Area,Assign Area,CRITICAL: NEEDS AREA
Sensors,INFO,temperature,sensor.upstairs_bathroom_fan_temperature,Temperature,temperature,shelly,Shelly,2nd Floor Bathroom,Disabled,Assign Area,
Sensors,INFO,humidity,sensor.upstairs_bathroom_humidity_trend,Upstairs Bathroom Humidity Trend,humidity,template,,,Needs Area,Assign Area,
Sensors,INFO,illuminance,sensor.upstairs_bathroom_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Garage,OK,None,
Sensors,INFO,illuminance,sensor.upstairs_hallway_east_wall_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Upstairs Hallway,OK,None,
Sensors,INFO,illuminance,sensor.upstairs_hallway_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Upstairs Hallway,OK,None,
