entity_id,friendly_name,platform,area,disabled
automation.garage_north_close_action_handler,Garage - North Close Action Handler,automation,None,None
automation.garage_north_door_opened_close_option,Garage - North Door Opened Close Option,automation,None,None
automation.garage_quick_open_action_handler,Garage - Quick Open Action Handler,automation,None,None
automation.garage_quick_open_north_action_handler,Garage - Quick Open North Action Handler,automation,None,None
automation.garage_quick_open_north_door_notification,Garage - Quick Open North Door Notification,automation,None,None
automation.garage_south_close_action_handler,Garage - South Close Action Handler,automation,None,None
automation.garage_south_door_opened_close_option,Garage - South Door Opened Close Option,automation,None,None
automation.garage_walk_in_door_quick_open,Garage - Walk-in Door Quick Open,automation,None,None
automation.global_all_adaptive_lamps_off_when_everyone_leaves,Global - All Adaptive Lamps Off When Everyone Leaves,automation,None,None
automation.hot_tub_mode_auto_off_when_back_inside,Hot Tub Mode - Auto Off When Back Inside,automation,None,None
automation.hot_tub_mode_auto_reset_at_3am,Hot Tub Mode - Auto Reset at 3am,automation,None,None
automation.hot_tub_mode_handle_notification_actions,Hot Tub Mode - Handle Notification Actions,automation,None,None
automation.hot_tub_mode_reminder_notification,Hot Tub Mode - Reminder Notification,automation,None,None
automation.humidity_alert_2nd_floor_low_or_high,Humidity Alert - 2nd Floor Low or High,automation,None,None
automation.humidity_block_fan_auto_on_when_paused,Humidity - Block Fan Auto-On When Paused,automation,None,None
automation.humidity_handle_notification_actions,Humidity - Handle Notification Actions,automation,None,None
automation.humidity_smart_alert_actions,Humidity - Smart Alert Actions,automation,None,None
automation.humidity_smart_shower_alert_low_house_humidity,Humidity - Smart Shower Alert (Low House Humidity),automation,None,None
automation.humidity_unpause_fan_when_time_expires,Humidity - Unpause Fan When Time Expires,automation,None,None
automation.kids_bedroom_override_reset,Kids - Bedroom Override Reset,automation,None,None
automation.kids_lights_off_when_everyone_away,Kids - Lights Off When Everyone Away,automation,None,None
automation.kitchen_above_sink_inovelli_control,Kitchen Above Sink - Inovelli Control,automation,None,None
automation.kitchen_chandelier_control_5_bulbs,Kitchen - Chandelier Control (5 Bulbs),automation,None,None
automation.kitchen_lounge_lamp_activity_boost,Kitchen Lounge Lamp - Activity Boost,automation,None,None
automation.kitchen_lounge_lamp_adaptive_lux_control,Kitchen Lounge Lamp - Adaptive Control,automation,None,None
automation.kitchen_lounge_lamp_dim_after_15min_no_motion,Kitchen Lounge Lamp - Dim After 8min No Motion,automation,None,None
automation.kitchen_lounge_lamp_hard_off_at_evening_end,Kitchen Lounge Lamp - Hard Off at Evening End,automation,None,None
automation.kitchen_lounge_lamp_off_after_no_motion,Kitchen Lounge Lamp - Off After 20min No Motion,automation,None,None
automation.kitchen_lounge_lamp_off_when_everyone_leaves,Kitchen Lounge Lamp - Off When Everyone Leaves,automation,None,None
automation.kitchen_lounge_vzm31_sn_dimmer_hue_ceiling,Kitchen Lounge - VZM31-SN Dimmer (Hue Ceiling),automation,None,None
automation.kitchen_lounge_vzm36_fan_light_hue_ceiling,Kitchen Lounge - VZM36 Fan/Light (Hue Ceiling),automation,None,None
automation.kitchen_tablet_brightness_schedule,Kitchen Tablet - Brightness Schedule,automation,None,None
automation.kitchen_tablet_doorbell_camera_popup,Kitchen Tablet - Doorbell Camera Popup,automation,None,None
automation.kitchen_tablet_power_off_when_everyone_away,Kitchen Tablet - Power Off When Everyone Away,automation,None,None
automation.kitchen_tablet_sleep_after_inactivity,Kitchen Tablet - Sleep After Inactivity,automation,None,None
automation.kitchen_tablet_sleep_after_inactivity_2,Kitchen Tablet - Sleep After Inactivity,automation,None,None
automation.kitchen_tablet_sleep_when_away,Kitchen Tablet - Sleep When Away,automation,None,None
automation.kitchen_tablet_wake_on_kitchen_motion,Kitchen Tablet - Wake on Kitchen Motion,automation,None,None
automation.kitchen_tablet_wake_on_motion,Kitchen Tablet - Wake on Motion,automation,None,None
automation.kitchen_tablet_wake_on_presence,Kitchen Tablet - Wake on Presence,automation,None,None
automation.kitchen_tablet_wake_when_someone_arrives,Kitchen Tablet - Wake When Someone Arrives,automation,None,None
automation.living_room_lamps_activity_boost,Living Room Lamps - Activity Boost,automation,None,None
automation.living_room_lamps_adaptive_control,Living Room Lamps - Adaptive Control,automation,None,None
automation.living_room_lamps_dim_after_20min_no_motion,Living Room Lamps - Dim After 15min No Motion,automation,None,None
automation.living_room_lamps_hard_off_at_evening_end,Living Room Lamps - Hard Off at Evening End,automation,None,None
automation.living_room_lamps_off_after_no_motion,Living Room Lamps - Off After 45min No Motion,automation,None,None
automation.living_room_lamps_off_when_everyone_leaves,Living Room Lamps - Off When Everyone Leaves,automation,None,None
automation.living_room_tv_off_full_av_system_off,Living Room TV OFF → Full AV System OFF,automation,None,None
automation.low_battery_daily_digest,Low Battery - Daily Digest,automation,None,None
automation.low_battery_handle_notification_actions,Low Battery - Handle Notification Actions,automation,None,None
automation.morning_wake_master_bedroom,Morning Wake → Master Bedroom,automation,None,None
