entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
binary_sensor.living_room_north_wall_east_nightlight_motion,Motion,motion,zha,Third Reality; Inc,Living Room,YES,,
binary_sensor.living_room_north_wall_west_nightlight_motion,Motion,motion,zha,Third Reality; Inc,Living Room,YES,,
binary_sensor.ratgdo32disco_5735e8_motion,Motion,motion,esphome,ratgdo,Garage,YES,,
binary_sensor.ratgdo32disco_fd8d8c_motion,Motion,motion,esphome,ratgdo,Garage,YES,,
binary_sensor.upstairs_bathroom_motion,Upstairs Bathroom Motion,motion,template,,,MISSING,,CRITICAL: NEEDS AREA
binary_sensor.upstairs_bathroom_night_light_motion,Motion,motion,zha,Third Reality; Inc,Garage,YES,,
binary_sensor.upstairs_hallway_east_wall_night_light_motion,Motion,motion,zha,Third Reality; Inc,Upstairs Hallway,YES,,
binary_sensor.upstairs_hallway_motion,Upstairs Hallway Motion,motion,template,,,MISSING,,CRITICAL: NEEDS AREA
binary_sensor.upstairs_hallway_night_light_motion,Motion,motion,zha,Third Reality; Inc,Upstairs Hallway,YES,,
binary_sensor.upstairs_motion,Upstairs Motion,motion,template,,,MISSING,,CRITICAL: NEEDS AREA
binary_sensor.upstairs_motionaware_area,Upstairs  MotionAware area,motion,hue,Signify Netherlands B.V.,Upstairs Hallway,YES,,
binary_sensor.very_front_door_animal_detected,Animal detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_audio_object_detected,Audio object detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
binary_sensor.very_front_door_baby_cry_detected,Baby cry detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_co_alarm_detected,CO alarm detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_doorbell,Doorbell,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_is_dark,Is dark,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_motion,Motion,motion,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_motion_sensor_occupancy,Occupancy,motion,matter,Aqara,Very Front Door Hallway,YES,,
binary_sensor.very_front_door_object_detected,Object detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
binary_sensor.very_front_door_package_detected,Package detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_person_detected,Person detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_smoke_alarm_detected,Smoke alarm detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_speaking_detected,Speaking detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
binary_sensor.very_front_door_vehicle_detected,Vehicle detected,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
sensor.1st_floor_bathroom_ceiling_lights_dimmer_switch_inovelli_vzm31_sn_internal_temperature,Internal temperature,temperature,zha,Inovelli,1st Floor Bathroom,YES,,
sensor.1st_floor_bathroom_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Garage,YES,,
sensor.1st_floor_bathroom_vanity_lights_humidity,Humidity,humidity,zha,Inovelli,1st Floor Bathroom,YES,,
sensor.1st_floor_bathroom_vanity_lights_internal_temperature,Internal temperature,temperature,zha,Inovelli,1st Floor Bathroom,YES,,
sensor.1st_floor_bathroom_vanity_lights_temperature,Temperature,temperature,zha,Inovelli,1st Floor Bathroom,YES,,
sensor.40062_hwy_53_ubb_temperature,Temperature,temperature,unifi,Ubiquiti Networks,Back Patio,YES,,
sensor.above_kitchen_sink_inovelli_switch_humidity,Humidity,humidity,zha,Inovelli,Kitchen,YES,,
sensor.above_kitchen_sink_inovelli_switch_internal_temperature,Internal temperature,temperature,zha,Inovelli,Kitchen,YES,,
sensor.above_kitchen_sink_inovelli_switch_temperature,Temperature,temperature,zha,Inovelli,Kitchen,YES,,
sensor.ai_theta_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,,MISSING,,CRITICAL: NEEDS AREA
sensor.alainas_iphone_battery_level,Alaina’s iPhone Battery Level,battery,mobile_app,Apple,,MISSING,,
sensor.alainas_iphone_battery_state,Alaina’s iPhone Battery State,battery,mobile_app,Apple,,MISSING,,
sensor.aqara_door_and_window_sensor_battery,Battery,door,matter,Aqara,Entry Room,YES,,
sensor.aqara_door_and_window_sensor_battery_2,Battery,door,matter,Aqara,Very Front Door,YES,,
sensor.aqara_door_and_window_sensor_battery_3,Battery,door,matter,Aqara,Entry Room,YES,,
