entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
sensor.kitchen_samsung_tablet_wall_mount_battery_health,Kitchen Samsung Tablet Wall Mount Battery health,battery,mobile_app,samsung,,MISSING,YES,
sensor.kitchen_samsung_tablet_wall_mount_battery_level,Kitchen Samsung Tablet Wall Mount Battery level,battery,mobile_app,samsung,,MISSING,,
sensor.kitchen_samsung_tablet_wall_mount_battery_power,Kitchen Samsung Tablet Wall Mount Battery power,battery,mobile_app,samsung,,MISSING,YES,
sensor.kitchen_samsung_tablet_wall_mount_battery_state,Kitchen Samsung Tablet Wall Mount Battery state,battery,mobile_app,samsung,,MISSING,,
sensor.kitchen_samsung_tablet_wall_mount_battery_temperature,Kitchen Samsung Tablet Wall Mount Battery temperature,temperature,mobile_app,samsung,,MISSING,YES,CRITICAL: NEEDS AREA
sensor.kitchen_samsung_tablet_wall_mount_car_battery,Kitchen Samsung Tablet Wall Mount Car battery,battery,mobile_app,samsung,,MISSING,YES,
sensor.kitchen_wall_a9_tablet_battery,Battery,battery,fully_kiosk,samsung,Kitchen,YES,,
sensor.kitchen_west_wall_nightlight_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Basement,YES,,
sensor.living_room_north_wall_east_nightlight_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Living Room,YES,,
sensor.living_room_north_wall_west_nightlight_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Living Room,YES,,
sensor.lumi_lumi_sensor_wleak_aq1_battery,Battery,battery,zha,LUMI,,MISSING,,
sensor.lumi_lumi_sensor_wleak_aq1_device_temperature,Device temperature,temperature,zha,LUMI,,MISSING,,CRITICAL: NEEDS AREA
sensor.master_nest_thermostat_humidity,Humidity,humidity,nest,Google Nest,Master Bedroom,YES,,
sensor.master_nest_thermostat_temperature,Temperature,temperature,nest,Google Nest,Master Bedroom,YES,,
sensor.navien_hot_water_temp,Navien Hot Water Temp,water,navien_water_heater,Navien,Boiler Room,YES,,
sensor.navien_water_flow,Navien Water Flow,water,navien_water_heater,Navien,Boiler Room,YES,,
sensor.outside_humidity,Outside Humidity,humidity,template,,,MISSING,,
sensor.outside_temperature,Outside Temperature,temperature,template,,,MISSING,,CRITICAL: NEEDS AREA
sensor.p_f_p_ubb_temperature,Temperature,temperature,unifi,Ubiquiti Networks,Back Yard Tower,YES,,
sensor.pfp_east_nest_thermostat_sensor_humidity,PFP East Nest Thermostat Humidity Sensor,humidity,nest,Google Nest,Pigeon Falls Properties,YES,,
sensor.pfp_east_nest_thermostat_sensor_temperature,PFP East Nest Thermostat Temperature Sensor,temperature,nest,Google Nest,Pigeon Falls Properties,YES,,
sensor.pfp_west_nest_sensor_temperature,PFP West Nest Thermostat Temperature Sensor,temperature,nest,Google Nest,Pigeon Falls Properties,YES,,
sensor.pfp_west_nest_thermostat_sensor_humidity,PFP West Nest Thermostat Humidity Sensor,humidity,nest,Google Nest,Pigeon Falls Properties,YES,,
sensor.udm_pro_cpu_temperature,CPU temperature,temperature,unifiprotect,Ubiquiti Networks,,MISSING,,CRITICAL: NEEDS AREA
sensor.udm_pro_udm_pro_cpu_temperature,UDM PRO CPU Temperature,temperature,unifi,Ubiquiti Networks,,MISSING,YES,CRITICAL: NEEDS AREA
sensor.udm_pro_udm_pro_local_temperature,UDM PRO Local Temperature,temperature,unifi,Ubiquiti Networks,,MISSING,YES,CRITICAL: NEEDS AREA
sensor.udm_pro_udm_pro_phy_temperature,UDM PRO PHY Temperature,temperature,unifi,Ubiquiti Networks,,MISSING,YES,CRITICAL: NEEDS AREA
sensor.upstairs_average_humidity,Upstairs Average Humidity,humidity,template,,,MISSING,,
sensor.upstairs_bathroom_echo_plus_temperature_2,Upstairs Bathroom Echo Plus Temperature,temperature,alexa_media,Amazon,,MISSING,,CRITICAL: NEEDS AREA
sensor.upstairs_bathroom_fan_temperature,Temperature,temperature,shelly,Shelly,2nd Floor Bathroom,YES,YES,
sensor.upstairs_bathroom_humidity_trend,Upstairs Bathroom Humidity Trend,humidity,template,,,MISSING,,
sensor.upstairs_bathroom_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Garage,YES,,
sensor.upstairs_hallway_east_wall_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Upstairs Hallway,YES,,
sensor.upstairs_hallway_night_light_illuminance,Illuminance,illuminance,zha,Third Reality; Inc,Upstairs Hallway,YES,,
sensor.usw_pro_max_16_poe_temperature,Temperature,temperature,unifi,Ubiquiti Networks,,MISSING,,CRITICAL: NEEDS AREA
sensor.very_front_door_chime_type,Chime type,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
sensor.very_front_door_disk_write_rate,Disk write rate,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
sensor.very_front_door_last_doorbell_ring,Last doorbell ring,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
sensor.very_front_door_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,Very Front Door,YES,,
sensor.very_front_door_oldest_recording,Oldest recording,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
sensor.very_front_door_received_data,Received data,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
sensor.very_front_door_storage_used,Storage used,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
sensor.very_front_door_transferred_data,Transferred data,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
sensor.very_front_door_uptime,Uptime,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
sensor.very_front_door_voltage,Voltage,door,unifiprotect,Ubiquiti,Very Front Door,YES,,
sensor.very_front_door_wi_fi_signal_strength,Wi-Fi signal strength,door,unifiprotect,Ubiquiti,Very Front Door,YES,YES,
