device_id,device_name,manufacturer,model,area,via_device,connections,disabled
c23ad97a65229c6d59ac91ad76ba9129,Multiple Entity Row,benct,plugin,,,[],
1cabdd0ed42b69049084e2231d0957f8,Spotify Lovelace Card,custom-cards,plugin,,,[],
3ee3ff96cf05b73fda946e115a6adb6f,Stack In Card,custom-cards,plugin,,,[],
f66264f39bc14e2fc44f7ff26a4d9414,button-card,custom-cards,plugin,,,[],
a2d345431924c540bcff4ba6e01262fe,Plotly Graph Card,dbuezas,plugin,,,[],
b6174bb5f9708d6b8f3b5e07dc652626,Music Assistant Player Card,droans,plugin,,,[],
3a6ccb29bcc218deff6968308985df93,Dwains Dashboard,dwainscheeren,integration,,,[],
3e17c428e8eaff5b21163b0d46e2764d,Spotcast,fondberg; fcusson,integration,,,[],
7bd1adac913388b8024e5e43b7f7c4b8,HACS,hacs.xyz,,,,[],
74a49433d956ea9657d7be383a4a0d35,Mitsubishi Comfort,jjustinwilson,integration,,,[],
924de25ce872b9fc7c915f67dcd57e78,mini-graph-card,kalkih,plugin,,,[],
72e1fb81c2bb0a44cdc702406020a916,Tuya Local,make-all,integration,,,[],
ce4c8833b5e766952c6a82d41628ce7a,Yamaha (YNCA),mvdwetering,integration,,,[],
397968242dd36cfb6303ff273ef8e128,Navien Water Heater Custom Integration,nikshriv,integration,,,[],
f3bdf7168a8228752c4dc6f17250a73b,Mushroom,piitaya,plugin,,,[],
da28db8d71ba13eb7cdec026ffd23263,Mushroom Themes,piitaya,theme,,,[],
428965c845294c751e54d6a660374afb,Garage_South_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,[['mac'; '14:33:5c:57:35:e8']],
894626fbc649447834a4a54d1cdf85e6,Garage_North_Garage_Door_ratgdo32disco,ratgdo,esphome,Garage,,[['mac'; '38:18:2b:fd:8d:8c']],
4d84ec67fc4f4aba5060f7aff5146837,Yamaha R-N301,rihokirss,integration,,,[],
a02a37d391e034f8100b6b57dec8118c,Local Tuya,rospogrigio; postlund,integration,,,[],
c8d38f36549aa6a411d2b773b4d2bb0f,John's S24 Ultra Phone,samsung,SM-S928U,,,[],
86870b5d8b01f345f5d5dd9c2ac06d2b,Kitchen Wall A9+ Tablet,samsung,SM-X210,Kitchen,,[],
2f805bbee60bbf1e517ea4fbe19ca0d7,HA Dashboard Tablet (Samsung),samsung,SM-X210,,,[],
6597c64a1be94ba96a6424418cf975f3,UI Lovelace Minimalist,stokkie90; wilbiev,integration,,,[],
2d2cc683fe6d6f646ad4d35ac3343c4d,auto-entities,thomasloven,plugin,,,[],
bdb62d0d9ba509a1542b6ab83fd3191a,card-mod,thomasloven,plugin,,,[],
40155cfa816fae5893999e68f55146b5,fold-entity-row,thomasloven,plugin,,,[],
b050f79c815c551c8edf695fa7c5b70e,layout-card,thomasloven,plugin,,,[],
aa86cc7cdc9bbc761189ce730b662c52,slider-entity-row,thomasloven,plugin,,,[],
4f6ded8fde9bdc30a01a1a264fb8a40f,Atomic Calendar Revive,totaldebug,plugin,,,[],
208a090f01c328baea2ccd3ec3d3e60f,Node-RED Companion,zachowj,integration,,,[],
